Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Yorkshire Terrier,9.02,Male,33.32,Abdominal Pain,<missing>,Vomiting,Fever,16 days,Yes,Yes,No,No,No,No,,,,42.47,76.87,Canine Hepatitis
Dog,Labrador,5.12,Female,2.74,Fever,Eye Discharge,Weakness,Nasal_Discharge,9 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.1°C,88.94,Canine Distemper
Dog,Border Collie,12.4,Female,27.7,Stiffness,Reluctance To Play,Lethargy,Change In Gait,4 days,No,No,No,No,No,Yes,No,No,Yes,38.9°C,128.0,Arthritis
Dog,Shih Tzu,1.3,Female,3.2,Skin Lesions,Diarrhea,Vomiting,Anorexia,10 days,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,38.5°C,97.0,Canine Distemper
Dog,Corgi,4.7,Female,9.1,Lethargy,Diarrhea,Neurological Signs,Lameness,17 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.4°C,130.0,Tick-Borne Disease
Dog,Bulldog,8.8,Female,15.5,Eye Discharge,Fever,Dehydration,Coughing,2 days,No,No,No,No,No,Yes,No,No,No,38.3°C,90.0,Lyme Disease
Dog,Poodle,3.78,Female,19.01,Nasal Discharge,<missing>,Reduced Appetite,Lethargy,21 days,Yes,No,No,No,No,No,No,Yes,Yes,40.6°C,86.33,Canine Influenza
Dog,Cocker Spaniel,1.7,Female,35.6,Nasal Discharge,Diarrhea,Weakness,Appetite Loss,19 hours,Yes,Yes,Yes,No,No,No,No,No,No,38.4°C,97.0,Gastroenteritis
Dog,Shih Tzu,1.6,Female,4.8,Eye Discharge,Lethargy,Vomiting,Coughing,6 weeks,No,Yes,Yes,No,No,No,No,No,No,38.4°C,60.0,Gastroenteritis
Dog,Golden Retriever,7.0,Male,30.0,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,118.0,Canine Parvovirus
Dog,Dachshund,3.1,Female,8.5,Weakness,Lameness,Loss Of Appetite,Nasal Discharge,11 days,Yes,No,No,No,No,Yes,No,No,No,38.7°C,75.0,Lyme Disease
Dog,Beagle,0.99,Male,2.99,Diarrhea,<missing>,Fever,Lethargy,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,125.63,Parvovirus
Dog,Chihuahua,1.0,Male,3.0,Vomiting,Diarrhea,Lethargy,Fever,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,135.0,Parvovirus
Dog,Bulldog,7.15,Male,34.48,Stiffness,Reluctance To Play,Joint Pain,Limping,2 weeks,No,No,No,No,No,Yes,No,No,No,38.8°C,86.64,Arthritis
Dog,Poodle,0.9,Female,-0.9,Lameness,Vomiting,Fever,Lethargy,6 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.6°C,139.0,Parvovirus
Dog,Golden Retriever,8.1,Male,28.3,Fever,Weakness,Labored Breathing,Nasal_Discharge,3 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,38.3°C,118.0,Kennel Cough
Dog,Dalmatian,4.61,Female,27.22,Nasal Discharge,Dehydration,Anorexia,Eye_Discharge,13 days,No,No,No,Yes,Yes,No,No,Yes,No,39.1°C,84.19,Kennel Cough
Dog,Corgi,1.2,Female,7.4,Coughing,Fever,Nasal Discharge,Eye_Discharge,6 days,Yes,Yes,No,No,Yes,No,No,Yes,Yes,39.7°C,87.0,Canine Distemper
Dog,Poodle,4.29,Female,18.95,Diarrhea,Fever,Coughing,Labored Breathing,11 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,38.5°C,99.29,Kennel Cough
Dog,Golden Retriever,6.0,Female,20.7,Fever,Vomiting,Abdominal Pain,Jaundice,11 days,No,Yes,Yes,No,No,Yes,,,,40.4,113.0,Canine Hepatitis
Dog,Labrador Retriever,0.48,Male,22.75,Fever,Labored Breathing,Coughing,Diarrhea,9 days,No,Yes,No,No,No,No,No,No,No,38.9°C,133.75,Gastroenteritis
Dog,Bulldog,0.5,Male,14.8,Nasal Discharge,Skin Lesions,Eye Discharge,Anorexia,9 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.8°C,127.0,Canine Distemper
Dog,Siberian Husky,0.2,Male,34.2,Weakness,Fever,Lethargy,Nasal Discharge,3 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,144.0,Parvovirus
Dog,German Shepherd,3.2,Female,20.6,Fever,Nasal Discharge,Weakness,Lethargy,13 days,Yes,No,No,No,No,Yes,No,No,No,38.6°C,83.0,Lyme Disease
Dog,Golden Retriever,5.0,Male,32.0,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.2°C,130.0,Gastroenteritis
Dog,Poodle,6.04,Male,41.74,Fever,Jaundice,Abdominal Pain,Vomiting,7 days,No,No,No,No,Yes,Yes,,,,42.62,102.46,Canine Hepatitis
Dog,Rottweiler,2.85,Male,4.96,Vomiting,Weakness,Diarrhea,Fever,10 days,Yes,No,No,Yes,No,No,No,Yes,No,38.4°C,67.51,Kennel Cough
Dog,Rottweiler,7.0,Male,35.0,Coughing,Loss Of Appetite,Lethargy,Fever,4 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.3°C,110.0,Kennel Cough
Dog,Poodle,7.2,Male,14.7,Eye_Discharge,Coughing,Diarrhea,Eye Discharge,14 days,Yes,Yes,No,Yes,No,No,No,Yes,Yes,39.6°C,60.0,Canine Distemper
Dog,Corgi,0.09,Female,39.04,Fever,Coughing,Eye Discharge,Fever,5 weeks,Yes,No,Yes,No,No,No,No,No,No,39.4°C,125.8,Parvovirus
Dog,Siberian Husky,7.09,Female,39.33,Nasal Discharge,<missing>,Vomiting,Skin Lesions,7 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.6°C,96.33,Canine Distemper
Dog,Labrador,1.37,Male,27.16,Coughing,Loss Of Appetite,Skin Lesions,Lethargy,10 days,Yes,No,No,No,No,Yes,No,No,No,38.6°C,73.22,Lyme Disease
Dog,Boxer,3.09,Male,28.03,Vomiting,Lethargy,<missing>,Fever,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.3°C,117.63,Canine Infectious Hepatitis
Dog,German Shepherd,0.6,Female,33.6,Diarrhea,Anorexia,Skin Lesions,Dehydration,14 hours,No,Yes,No,Yes,No,No,No,Yes,Yes,39.0°C,157.0,Kennel Cough
Dog,Shih Tzu,0.2,Female,2.5,Vomiting,Nasal Discharge,Coughing,Fever,16 hours,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,121.0,Parvovirus
Dog,Beagle,0.37,Female,80.81,Skin Lesions,Labored Breathing,Anorexia,Coughing,11 days,Yes,No,Yes,No,No,No,No,No,No,39.8°C,163.18,Parvovirus
Dog,Pug,0.39,Female,34.8,Fever,Dehydration,Eye_Discharge,<missing>,12 hours,No,No,No,Yes,No,No,No,No,No,39.5°C,152.73,Kennel Cough
Dog,Bulldog,3.16,Male,37.54,Nasal_Discharge,Coughing,Coughing,Skin Lesions,7 days,No,No,Yes,Yes,Yes,No,No,Yes,No,38.3°C,68.32,Kennel Cough
Dog,Dalmatian,6.3,Female,37.2,Lameness,Dehydration,Weakness,Skin Lesions,14 days,Yes,No,No,No,No,Yes,No,No,No,38.7°C,98.0,Lyme Disease
Dog,Dalmatian,0.5,Female,16.9,Vomiting,Swollen Lymph Nodes,Pale Gums,Loss Of Appetite,12 days,Yes,Yes,No,No,No,Yes,No,No,No,39.6°C,129.0,Tick-Borne Disease
Dog,Beagle,6.6,Male,20.95,Labored Breathing,Anorexia,Skin Lesions,<missing>,9 hours,No,No,No,Yes,No,No,No,Yes,No,39.4°C,75.13,Kennel Cough
Dog,Bulldog,4.1,Female,9.9,Nasal_Discharge,Fever,Diarrhea,Dehydration,11 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,39.5°C,89.0,Canine Distemper
Dog,Labrador Retriever,3.7,Male,8.36,Fever,Lethargy,Vomiting,Loss Of Appetite,4 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.2°C,114.68,Parvovirus
Dog,Pit Bull,2.12,Female,29.89,Nasal Discharge,Lameness,Nasal_Discharge,<missing>,7 weeks,No,No,No,Yes,Yes,No,No,No,No,39.2°C,87.85,Kennel Cough
Dog,Dachshund,3.0,Female,34.9,Eye Discharge,Coughing,Lameness,Labored Breathing,19 hours,No,No,No,No,No,Yes,No,No,No,38.6°C,66.0,Lyme Disease
Dog,Chihuahua,6.6,Male,14.3,Limping,Difficulty Rising,Change In Gait,Joint Pain,8 days,Yes,No,No,No,No,Yes,No,No,No,38.8°C,72.0,Arthritis
Dog,Bulldog,3.0,Female,25.0,Lethargy,Vomiting,Loss Of Appetite,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2°C,125.0,Canine Leptospirosis
Dog,Golden Retriever,2.85,Male,40.87,Anorexia,Lameness,Eye Discharge,Diarrhea,11 days,No,No,Yes,No,Yes,No,No,No,No,38.2°C,72.3,Gastroenteritis
Dog,Siberian Husky,0.5,Female,23.9,Labored Breathing,Diarrhea,Coughing,Fever,9 days,No,Yes,No,No,No,No,No,No,No,38.9°C,146.0,Gastroenteritis
Dog,Husky,9.02,Female,29.34,Vomiting,Abdominal Pain,Fever,Jaundice,16 days,Yes,Yes,No,No,No,No,,,,38.46,80.41,Canine Hepatitis
Dog,Doberman Pinscher,2.5,Male,24.3,Anorexia,Fever,Eye Discharge,Skin Lesions,3 days,Yes,No,No,No,No,Yes,No,No,No,39.0°C,117.0,Lyme Disease
Dog,Labrador,4.0,Male,25.0,Fever,Lethargy,Appetite Loss,Vomiting,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5°C,120.0,Parvovirus
Dog,Pit Bull,0.9,Female,24.8,Anorexia,Vomiting,Eye Discharge,Diarrhea,5 days,Yes,Yes,Yes,No,Yes,No,No,No,No,39.1°C,145.0,Parvovirus
Dog,Beagle,7.63,Male,18.52,Eye Discharge,<missing>,Vomiting,Anorexia,2 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.3°C,112.97,Canine Distemper
Dog,Golden Retriever,0.4,Female,17.5,Anorexia,Lethargy,Dehydration,Vomiting,4 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,155.0,Parvovirus
Dog,Bulldog,0.77,Female,20.43,Labored Breathing,Weakness,Vomiting,Lameness,3 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,154.16,Parvovirus
Dog,Golden Retriever,2.7,Male,31.0,Fever,Vomiting,Diarrhea,Jaundice,20 days,Yes,No,No,No,No,No,,,,39.5,103.0,Canine Leptospirosis
Dog,Doberman Pinscher,2.5,Male,8.8,Coughing,Anorexia,Nasal_Discharge,Coughing,13 hours,No,Yes,Yes,Yes,Yes,No,No,No,Yes,39.8°C,72.0,Canine Distemper
Dog,Dalmatian,0.9,Female,24.2,Labored Breathing,Loss Of Appetite,Lethargy,Skin Lesions,11 days,Yes,Yes,No,No,No,Yes,No,No,No,38.8°C,124.0,Lyme Disease
Dog,Poodle,7.0,Female,15.7,Diarrhea,Fever,Dehydration,Nasal Discharge,13 days,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,40.2°C,70.0,Canine Distemper
Dog,Pit Bull,9.97,Female,67.97,Nasal Discharge,Fever,Lethargy,Labored Breathing,19 hours,Yes,No,No,No,No,Yes,No,No,No,39.3°C,97.11,Lyme Disease
Dog,Boxer,1.01,Female,10.86,Appetite Loss,Lethargy,Vomiting,Diarrhea,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,118.52,Gastroenteritis
Dog,Rottweiler,6.83,Female,33.33,Diarrhea,Weakness,Fever,Dehydration,12 days,Yes,No,Yes,No,No,No,,,,38.89,103.42,Salmonellosis
Dog,Poodle,5.23,Female,6.76,Abdominal Pain,Jaundice,Vomiting,Fever,2 days,Yes,No,Yes,Yes,No,No,,,,43.82,85.02,Canine Hepatitis
Dog,Pit Bull,9.9,Male,21.7,Labored Breathing,Diarrhea,Skin Lesions,Weakness,3 weeks,Yes,Yes,Yes,No,No,No,No,No,No,38.6°C,98.0,Gastroenteritis
Dog,Poodle,10.13,Male,24.83,Eye_Discharge,Diarrhea,Anorexia,Weakness,4 days,No,No,No,Yes,No,No,No,Yes,Yes,37.8°C,130.67,Kennel Cough
Dog,Siberian Husky,6.1,Female,32.1,Diarrhea,Loss Of Appetite,Nasal Discharge,Anorexia,14 days,Yes,No,No,No,No,Yes,No,No,No,38.3°C,88.0,Lyme Disease
Dog,Akita,5.41,Female,14.26,Vomiting,Jaundice,Diarrhea,Fever,19 days,Yes,Yes,No,No,No,No,,,,40.26,123.01,Canine Leptospirosis
Dog,Labrador Retriever,5.9,Female,25.8,Anorexia,Nasal_Discharge,Vomiting,Coughing,12 days,Yes,No,Yes,Yes,Yes,No,No,No,Yes,39.8°C,85.0,Canine Distemper
Dog,Dachshund,7.0,Male,15.2,Weakness,Coughing,Vomiting,Labored Breathing,2 days,No,Yes,No,Yes,Yes,No,No,Yes,No,37.7°C,88.0,Canine Distemper
Dog,Akita,3.03,Male,30.34,Fever,Loss Of Appetite,Coughing,<missing>,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1°C,114.57,Kennel Cough
Dog,Poodle,8.42,Female,18.44,Stiffness,Lethargy,Difficulty Rising,Joint Pain,7 weeks,No,No,No,No,No,Yes,No,No,No,39.2°C,86.17,Arthritis
Dog,Dachshund,11.7,Female,8.8,Diarrhea,Vomiting,Nasal Discharge,Skin Lesions,4 days,Yes,Yes,No,No,No,No,No,No,No,38.4°C,95.0,Gastroenteritis
Dog,Labrador,0.3,Male,37.2,Dehydration,Lethargy,Skin Lesions,Diarrhea,11 days,Yes,Yes,Yes,No,No,No,No,No,No,39.6°C,128.0,Parvovirus
Dog,Golden Retriever,3.2,Male,22.7,Fever,Vomiting,Diarrhea,Jaundice,16 days,Yes,No,No,No,No,No,,,,39.6,113.0,Canine Leptospirosis
Dog,Doberman Pinscher,6.0,Male,40.0,Vomiting,Lethargy,Loss Of Appetite,Coughing,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,119.0,Canine Distemper
Dog,German Shepherd,2.95,Male,31.31,Skin Lesions,<missing>,Lethargy,Fever,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,111.83,Lyme Disease
Dog,Labrador Retriever,3.03,Male,14.74,Diarrhea,Fever,Skin Lesions,Lameness,13 days,No,No,No,No,No,Yes,No,No,No,38.8°C,106.13,Lyme Disease
Dog,Boxer,8.77,Male,8.25,Jaundice,Fever,Vomiting,Diarrhea,12 days,Yes,No,Yes,Yes,No,No,,,,41.23,86.21,Canine Leptospirosis
Dog,Akita,0.47,Female,13.49,Anorexia,Diarrhea,Fever,Lethargy,10 days,No,Yes,Yes,No,No,No,No,No,No,39.4°C,123.51,Parvovirus
Dog,Border Collie,1.05,Female,4.4,Coughing,Fever,Eye Discharge,Eye_Discharge,12 days,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.7°C,114.01,Canine Distemper
Dog,Siberian Husky,12.4,Male,23.1,Lethargy,Change In Gait,Stiffness,Limping,14 days,No,No,No,No,No,Yes,No,No,No,39.0°C,106.0,Arthritis
Dog,Akita,7.27,Female,11.29,Vomiting,<missing>,Vomiting,Lameness,4 weeks,Yes,No,Yes,No,No,No,No,No,No,38.8°C,109.77,Gastroenteritis
Dog,Siberian Husky,4.4,Female,27.0,Weakness,Coughing,Eye Discharge,Eye_Discharge,9 days,No,No,No,Yes,No,No,No,No,No,38.7°C,85.0,Kennel Cough
Dog,Chihuahua,6.1,Male,4.5,Diarrhea,Labored Breathing,Nasal_Discharge,Fever,4 days,No,No,No,Yes,Yes,No,No,No,Yes,38.6°C,100.0,Kennel Cough
Dog,Labrador,5.82,Male,35.71,Lethargy,Fever,<missing>,Vomiting,7 days,Yes,Yes,No,No,No,Yes,No,No,No,37.8°C,98.73,Lyme Disease
Dog,Dalmatian,7.2,Male,18.96,Eye_Discharge,Nasal_Discharge,Weakness,Eye Discharge,11 hours,No,No,No,Yes,No,No,No,Yes,No,39.0°C,97.11,Kennel Cough
Dog,Siberian Husky,11.3,Female,25.7,Skin Lesions,Nasal Discharge,Anorexia,Coughing,12 days,Yes,No,No,No,No,No,No,No,No,39.1°C,97.0,Lyme Disease
Dog,Siberian Husky,5.91,Female,16.34,Change In Gait,Stiffness,Lethargy,Reluctance To Play,14 days,Yes,No,No,No,No,Yes,No,No,No,38.7°C,110.34,Arthritis
Dog,Dalmatian,0.6,Female,34.4,Lameness,Coughing,Eye Discharge,Anorexia,6 days,No,No,Yes,No,No,Yes,No,No,No,38.6°C,135.0,Lyme Disease
Dog,Corgi,4.68,Male,29.6,Lameness,Labored Breathing,Weakness,Eye Discharge,2 days,Yes,No,No,Yes,No,No,No,Yes,Yes,38.2°C,56.83,Kennel Cough
Dog,Poodle,0.4,Male,26.34,Dehydration,Diarrhea,Fever,Labored Breathing,7 days,Yes,Yes,Yes,No,No,No,No,No,No,39.3°C,116.61,Parvovirus
Dog,Border Collie,5.1,Male,8.3,Nasal_Discharge,Vomiting,Eye_Discharge,Skin Lesions,5 weeks,No,No,No,Yes,Yes,No,No,Yes,No,38.7°C,89.0,Kennel Cough
Dog,Boxer,8.9,Male,27.6,Diarrhea,Dehydration,Vomiting,Appetite Loss,14 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,109.0,Gastroenteritis
Dog,Rottweiler,13.7,Female,7.6,Lethargy,Joint Pain,Reluctance To Play,Difficulty Rising,19 days,Yes,No,No,No,No,Yes,No,No,No,38.5°C,60.0,Arthritis
Dog,Chihuahua,0.63,Male,9.41,Fever,Fever,Coughing,Diarrhea,1 weeks,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,139.17,Parvovirus
Dog,Pug,1.8,Male,9.9,Fever,Vomiting,Abdominal Pain,Jaundice,18 days,Yes,Yes,No,Yes,Yes,No,,,,39.8,111.0,Canine Hepatitis
Dog,Bulldog,3.4,Female,14.2,Nasal_Discharge,Skin Lesions,Anorexia,Vomiting,13 days,No,Yes,Yes,Yes,Yes,No,No,Yes,No,39.5°C,114.0,Canine Distemper
Dog,Husky,6.7,Male,23.9,Coughing,Dehydration,Nasal Discharge,Weakness,2 days,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,39.8°C,91.0,Canine Distemper
Dog,Dachshund,0.42,Male,11.87,Labored Breathing,Skin Lesions,<missing>,Eye Discharge,14 days,No,No,No,Yes,Yes,No,No,Yes,No,38.3°C,139.84,Kennel Cough
Dog,Pug,6.3,Female,30.4,Fever,Diarrhea,Dehydration,Weakness,12 days,Yes,No,Yes,No,No,No,,,,39.4,108.0,Salmonellosis
Dog,Beagle,1.0,Male,10.0,Diarrhea,Vomiting,Lethargy,Appetite Loss,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,130.0,Gastroenteritis
Dog,Doberman Pinscher,0.2,Male,3.2,Lameness,Eye Discharge,Fever,Fever,6 hours,Yes,Yes,Yes,No,No,No,No,No,No,38.5°C,124.0,Parvovirus
Dog,Cocker Spaniel,10.83,Female,4.01,Lethargy,<missing>,Labored Breathing,Lameness,12 days,Yes,No,No,No,No,Yes,No,No,No,38.5°C,91.92,Lyme Disease
Dog,Dachshund,6.6,Female,37.7,Nasal Discharge,Vomiting,Anorexia,Skin Lesions,7 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.6°C,101.0,Canine Distemper
Dog,Dalmatian,0.8,Female,32.8,Anorexia,Diarrhea,Fever,Labored Breathing,1 days,Yes,Yes,No,No,No,No,No,No,No,39.4°C,130.0,Parvovirus
Dog,Labrador Retriever,0.4,Male,34.5,Eye Discharge,Eye_Discharge,Dehydration,Fever,12 hours,No,No,No,Yes,No,No,No,No,No,39.5°C,144.0,Kennel Cough
Dog,Dachshund,5.0,Female,1.17,Coughing,Fever,Vomiting,<missing>,3 days,No,No,No,Yes,No,No,No,No,No,39.8°C,81.03,Canine Distemper
Dog,Pit Bull,5.5,Male,16.2,Labored Breathing,Coughing,Lameness,Vomiting,13 days,Yes,Yes,Yes,No,No,No,No,No,No,39.6°C,82.0,Gastroenteritis
Dog,Pit Bull,1.4,Female,31.63,Coughing,Skin Lesions,Loss Of Appetite,Lethargy,10 days,Yes,No,No,No,No,Yes,No,No,No,38.6°C,74.52,Lyme Disease
Dog,Bulldog,5.0,Male,23.0,Labored Breathing,Coughing,Nasal Discharge,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0°C,115.0,Canine Distemper
Dog,Chihuahua,8.4,Male,6.0,Appetite Loss,Dehydration,Skin Lesions,Diarrhea,1 days,Yes,Yes,Yes,No,No,No,No,No,No,38.0°C,83.0,Gastroenteritis
Dog,Dachshund,6.7,Female,8.4,Dehydration,Fever,Nasal_Discharge,Lameness,8 days,Yes,Yes,No,Yes,No,No,No,Yes,No,38.6°C,79.0,Kennel Cough
Dog,Border Collie,6.6,Male,15.5,Coughing,Anorexia,Eye Discharge,Lethargy,7 days,Yes,No,Yes,No,No,Yes,No,No,No,39.0°C,83.0,Lyme Disease
Dog,Husky,6.41,Male,33.91,<missing>,Loss Of Appetite,Fever,Skin Lesions,11 days,Yes,No,No,No,No,No,No,No,No,39.3°C,74.71,Lyme Disease
Dog,Cocker Spaniel,11.1,Male,11.8,Weakness,Labored Breathing,Diarrhea,Dehydration,13 days,Yes,No,Yes,Yes,No,No,No,No,No,38.1°C,84.0,Gastroenteritis
Dog,Yorkshire Terrier,9.31,Female,26.89,Diarrhea,Vomiting,Lethargy,Loss Of Appetite,4 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.1°C,117.13,Canine Parvovirus
Dog,Corgi,4.63,Female,38.41,Nasal_Discharge,Eye_Discharge,Labored Breathing,Coughing,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,40.3°C,77.8,Canine Distemper
Dog,Siberian Husky,2.89,Female,8.92,Lameness,Weakness,Nasal Discharge,Loss Of Appetite,11 days,Yes,No,No,No,No,Yes,No,No,No,38.7°C,76.12,Lyme Disease
Dog,Cocker Spaniel,6.9,Female,18.5,Labored Breathing,Nasal Discharge,Skin Lesions,Dehydration,1 weeks,Yes,No,Yes,No,No,No,No,No,No,38.4°C,117.0,Gastroenteritis
Dog,Dalmatian,4.7,Female,45.9,Nasal_Discharge,Coughing,Nasal Discharge,Eye_Discharge,11 days,No,No,No,Yes,No,No,No,No,No,39.5°C,63.0,Canine Distemper
Dog,Bulldog,4.14,Female,30.18,Coughing,<missing>,Anorexia,Labored Breathing,9 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,39.2°C,132.65,Canine Distemper
Dog,Poodle,1.22,Male,24.6,Lameness,Vomiting,Coughing,Nasal_Discharge,12 days,No,No,No,Yes,Yes,No,No,No,Yes,40.0°C,68.08,Kennel Cough
Dog,Shih Tzu,5.67,Male,13.21,Diarrhea,Vomiting,Fever,Jaundice,19 days,Yes,Yes,No,No,No,No,,,,37.14,126.46,Canine Leptospirosis
Dog,Poodle,7.7,Female,37.1,Nasal Discharge,Vomiting,Diarrhea,Lameness,11 days,No,No,No,No,No,Yes,No,No,No,38.4°C,79.0,Lyme Disease
Dog,Akita,6.28,Male,14.44,Persistent Cough,<missing>,Ocular Discharge,Fever,1 days,Yes,No,No,Yes,No,No,No,No,Yes,39.5°C,97.51,Canine Influenza
Dog,Labrador Retriever,0.97,Male,33.17,<missing>,Lameness,Dehydration,Eye Discharge,22 hours,Yes,No,Yes,No,No,No,No,No,No,38.7°C,141.67,Gastroenteritis
Dog,Chihuahua,0.8,Female,5.7,Lameness,Fever,Eye Discharge,Vomiting,13 days,Yes,Yes,Yes,No,No,No,No,No,No,38.5°C,155.0,Parvovirus
Dog,Corgi,1.0,Male,11.2,Eye Discharge,Vomiting,Labored Breathing,Skin Lesions,13 days,Yes,No,Yes,No,No,No,No,No,No,38.3°C,77.0,Parvovirus
Dog,Golden Retriever,2.8,Male,29.0,Eye_Discharge,Lameness,Nasal Discharge,Eye Discharge,6 days,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,38.4°C,129.0,Kennel Cough
Dog,Dachshund,3.8,Female,18.7,Coughing,Nasal_Discharge,Weakness,Labored Breathing,9 days,No,No,No,Yes,No,Yes,No,Yes,Yes,40.3°C,113.0,Canine Distemper
Dog,Corgi,10.6,Female,15.4,Dehydration,Lethargy,Coughing,Skin Lesions,10 days,No,No,No,No,No,No,No,No,No,38.2°C,81.0,Lyme Disease
